,emojis,hashtag,hahalol,Output
584801533,1,6,1,0
32277979,1,5,1,0
999217290,1,3,1,0
4238975292,2,1,1,1
936796628379492352,4,1,1,1
277659827,1,3,1,0
538342638,1,1,1,0
1229190391448113156,1,1,1,0
1176364616487776256,1,1,1,0
867133073133113346,4,1,1,1
1119523480955961350,2,7,1,0
62675804,1,6,1,0
847026115,1,6,1,0
1250857363546017798,1,1,1,1
1146142266429464576,1,1,1,1
1118882111182770176,1,10,1,0
2818042877,2,1,1,1
473359318,1,1,1,0
34946166,1,4,1,0
1240696450134216704,1,4,1,0
21351147,1,5,1,0
542984026,1,1,1,0
996645631056752640,4,2,1,1
1122897011567661056,1,2,1,0
34493707,3,1,1,0
831215352063389697,2,1,1,0
839076044585992192,1,1,1,1
1031578966178455554,10,1,1,0
3021206577,1,1,1,0
26871047,2,4,1,0
1245456676620206080,3,2,1,0
1096087520700379136,1,5,1,0
522551018,2,3,1,0
1309326744,4,5,1,0
1233167462046355458,2,2,1,0
1223638007682605057,8,2,1,0
94496757,1,1,1,1
1075530642677526528,1,1,1,0
22497268,1,1,1,0
117073381,1,5,1,0
1251175686,1,1,1,0
3714664937,1,1,1,0
130956351,2,1,1,0
787015045460787200,7,1,1,1
1240812064068771842,1,5,1,0
528219014,1,3,1,0
585071121,4,1,1,0
8186272,1,1,1,0
309699184,1,7,1,0
829891263767965697,1,3,1,0
2918361220,1,8,1,0
867206243898855424,1,1,1,0
2892378801,1,1,1,0
110890366,2,1,1,0
16024323,1,1,1,0
541067080,1,9,1,0
946986205,4,1,1,1
66851804,1,3,1,0
351930287,1,3,1,0
1038613893441044480,1,2,1,0
1047123412420841472,1,1,1,1
20023845,1,1,1,0
329848150,5,1,1,0
1211149487902613505,1,1,1,1
522385259,1,1,1,0
1124110413082365952,5,1,1,1
43594186,1,1,1,0
898619777006026752,1,2,1,0
1180198179905642496,7,1,1,1
3095844730,2,1,1,0
848648466121338880,3,1,1,0
1140563454,1,1,1,1
1312463636,4,2,1,1
355474067,1,4,1,0
2448207420,9,1,1,1
155601793,6,1,1,0
1233167289291362304,2,4,1,1
339863678,1,2,1,0
523838847,1,2,1,0
150304046,1,1,1,1
95949373,1,1,1,0
730978603433857024,1,5,1,0
926987385509998599,3,1,1,1
2189069000,1,1,1,0
789626354367098880,1,1,1,0
906737919112687616,1,1,1,1
1038106428727353347,1,3,1,0
898219267291848704,2,1,1,0
1183178179269320704,1,1,1,0
968927450330816512,3,5,1,0
3998053456,4,1,1,1
432181955,3,2,1,0
1085637203483639809,1,1,1,0
710207795128307712,1,3,1,0
1220408962195038219,1,4,1,0
1047392862873276417,1,1,1,0
1171881670544363522,1,1,1,0
4128542938,3,2,1,0
1186861586,1,5,1,0
281640521,2,5,1,0
1214704269892476929,1,1,1,1
1137796860096274432,7,2,1,1
80616082,3,4,1,0
1723403634,1,7,1,0
960633809472499712,1,1,1,0
713377426865303553,1,1,1,0
1132478238125625344,-1,-1,-1,0
2478867785,1,4,1,0
1366524332,4,1,1,0
1281033901406932994,3,1,1,0
2204925782,1,1,1,0
2790221072,1,1,1,0
1172907958319140866,6,6,1,1
1250429918342569985,-1,-1,-1,0
73657561,1,2,1,0
376040800,2,1,1,0
2188842884,3,1,1,0
1206032955497492485,1,1,1,0
1092155790553739265,1,1,1,1
2881042870,1,4,1,0
1199683183941435392,3,1,1,0
1166543854373396480,1,1,1,0
2470021867,3,1,1,0
776784981788090368,1,2,1,0
1033524947921133568,6,1,1,0
755389866884624384,1,2,1,0
52522194,1,1,1,0
1131552890768826370,1,9,1,0
1020407152614223872,1,4,1,0
1099058195987906560,1,1,1,0
872168839370420224,1,1,1,0
3819424341,1,2,1,0
892719213420445696,1,1,1,0
2270931763,6,1,1,1
57787050,1,6,1,1
1022881935234932736,3,1,1,0
1089186744652783618,1,3,1,0
39351968,1,5,1,0
34960999,1,2,1,0
1551440827,1,3,1,0
971371610535006208,2,1,1,0
1248627748773322760,2,4,1,1
1068970773275164672,6,1,1,1
1179783681038311424,6,6,1,1
621372663,5,3,1,0
526578001,1,1,1,0
1904354773,1,3,1,0
12352312,1,2,1,0
1097700925790072833,1,2,1,0
72552523,1,3,1,0
1206880791516655616,3,1,1,1
2230722349,1,1,1,0
270361934,1,1,1,0
1252420623013421056,1,2,1,0
506449489,1,4,1,0
1061762125817896961,1,1,1,0
